X Z V VxVz
43 -128 2.53778173 1.120219327
43 -127 2.525475584 1.123601791
43 -126 2.512686969 1.127465177
43 -125 2.52053253 1.131313342
43 -124 2.551021684 1.134475064
43 -123 2.576610853 1.136057558
43 -122 2.582279989 1.135846098
43 -121 2.550866933 1.134281781
43 -120 2.524224462 1.132472375
43 -119 2.509998263 1.131360724
43 -118 2.52 1.131513953
43 -117 2.55 1.133023714
43 -116 2.57 1.135678421
43 -115 2.58 1.139097881
43 -114 2.56 1.142863519
43 -113 2.53 1.146694741
43 -112 2.5 1.15045732
43 -111 2.475 1.154132717
43 -110 2.475 1.157720317
43 -109 2.515 1.161140446
43 -108 2.555 1.164086633
43 -107 2.54 1.16647794
43 -106 2.475 1.168598565
43 -105 2.41 1.171103027
43 -104 2.41 1.174301636
43 -103 2.46 1.177770424
43 -102 2.49 1.180759849
43 -101 2.46 1.182965983
43 -100 2.43 1.184703902
43 -99 2.425 1.186167113
43 -98 2.425 1.186999871
43 -97 2.37 1.186808994
43 -96 2.29 1.186018557
43 -95 2.265 1.186289123
43 -94 2.3 1.188880199
43 -93 2.37 1.193755817
43 -92 2.425 1.199465423
43 -91 2.425 1.204341092
43 -90 2.385 1.207337889
43 -89 2.34 1.208347576
43 -88 2.275 1.207878867
43 -87 2.205 1.206768759
43 -86 2.155 1.206002309
43 -85 2.14 1.206330027
43 -84 2.155 1.207975458
43 -83 2.195 1.210472283
43 -82 2.215 1.213191211
43 -81 2.205 1.215707473
43 -80 2.175 1.217989032
43 -79 2.16 1.219818723
43 -78 2.165 1.220560672
43 -77 2.14 1.21922288
43 -76 2.1 1.215075817
43 -75 2.085 1.208001424
43 -74 2.065 1.19870954
43 -73 2.015 1.188662311
43 -72 1.96 1.179646187
43 -71 1.94 1.172986693
43 -70 1.94 1.168964115
43 -69 1.955 1.166980553
43 -68 1.97 1.16619297
43 -67 1.99 1.165910115
43 -66 2.02 1.165647981
43 -65 2.04 1.165016223
43 -64 2.05 1.163904829
43 -63 2.03 1.162420391
43 -62 1.99 1.160810645
43 -61 1.97 1.159120454
43 -60 1.955 1.157307089
43 -59 1.955 1.1553823
43 -58 1.965 1.153692803
43 -57 1.975 1.152739034
43 -56 1.995 1.152907431
43 -55 2.005 1.15411125
43 -54 1.995 1.155840725
43 -53 1.975 1.157462143
43 -52 1.955 1.158681388
43 -51 1.955 1.159655699
43 -50 1.975 1.160718502
43 -49 2.005 1.161839794
43 -48 2.015 1.162569531
43 -47 1.995 1.16243178
43 -46 1.96 1.161374659
43 -45 1.95 1.159675212
43 -44 1.955 1.157387457
43 -43 1.95 1.154406652
43 -42 1.93 1.15065955
43 -41 1.91 1.14668199
43 -40 1.92 1.143009317
43 -39 1.955 1.140007713
43 -38 1.98 1.137405556
43 -37 1.99 1.134995707
43 -36 1.98 1.132591127
43 -35 1.98 1.13024298
43 -34 1.97 1.127746926
43 -33 1.96 1.12494691
43 -32 1.94 1.121671603
43 -31 1.94 1.117984328
43 -30 1.94 1.113806464
43 -29 1.915 1.109135005
43 -28 1.875 1.103907194
43 -27 1.83 1.098410487
43 -26 1.795 1.092917154
43 -25 1.775 1.08796666
43 -24 1.765 1.083675974
43 -23 1.775 1.080192111
43 -22 1.8 1.077457368
43 -21 1.805 1.075338262
43 -20 1.775 1.073603691
43 -19 1.72 1.072024039
43 -18 1.655 1.070446557
43 -17 1.604233663 1.068881446
43 -16 1.563002412 1.067442788
43 -15 1.538440522 1.066300308
43 -14 1.513791972 1.065594475
43 -13 1.499146042 1.065437526
43 -12 1.478086648 1.065635865
43 -11 1.470107942 1.065928133
43 -10 1.466049584 1.066396646
43 -9 1.453253375 1.066932886
43 -8 1.440393223 1.067390366
