X  Z  V  Vxz
19  -191  2.436556406  1.048069118
20  -191  2.436530071  1.048068914
21  -191  2.436318389  1.048068698
22  -191  2.436184363  1.04806888
23  -191  2.436259224  1.048069042
24  -191  2.434891795  1.048072657
25  -191  2.436118855  1.048072149
26  -191  2.43598492  1.048072223
27  -191  2.436321441  1.048069321
28  -191  2.43381289  1.048070479
29  -191  2.43381289  1.048069181
30  -191  2.43381289  1.048069309
31  -191  2.43381289  1.04806948
32  -191  2.43381289  1.048069465
33  -191  2.43381289  1.048069327
34  -191  2.43381289  1.048069056
35  -191  2.43381289  1.048069328
36  -191  2.43381289  1.048069068
37  -191  2.435999868  1.048069172
38  -191  2.436045325  1.048069551
39  -191  2.43381289  1.048069575
40  -191  2.43381289  1.048068837
0  -190  2.43381289  1.048068304
1  -190  2.43381289  1.048067878
2  -190  2.43381289  1.04806814
3  -190  2.43381289  1.048067584
4  -190  2.43381289  1.048068869
5  -190  2.435773735  1.048068877
6  -190  2.435070417  1.048068845
7  -190  2.436551135  1.048069229
8  -190  2.435877081  1.048068774
9  -190  2.435567979  1.048069177
10  -190  2.435282463  1.048069264
11  -190  2.433764045  1.0480692
12  -190  2.434252142  1.048069037
13  -190  2.432263438  1.048068833
14  -190  2.434577848  1.048068618
15  -190  2.434341245  1.04806892
16  -190  2.434576331  1.048068325
17  -190  2.437096383  1.048068417
18  -190  2.434869419  1.048068501
19  -190  2.435679884  1.048068432
20  -190  2.436043237  1.048068308
21  -190  2.436424526  1.048068417
22  -190  2.43658574  1.048069021
23  -190  2.436675814  1.048068802
24  -190  2.436304166  1.048070948
25  -190  2.437083944  1.048070297
26  -190  2.436371064  1.048069604
27  -190  2.43381289  1.048070935
28  -190  2.43381289  1.048071109
29  -190  2.43381289  1.048070853
30  -190  2.43381289  1.048068792
31  -190  2.43381289  1.048068696
32  -190  2.43381289  1.048068762
33  -190  2.43381289  1.048068729
34  -190  2.43381289  1.048068602
35  -190  2.43381289  1.048068521
36  -190  2.43381289  1.048067876
37  -190  2.43381289  1.048069802
38  -190  2.43381289  1.048069771
39  -190  2.43381289  1.048069047
40  -190  2.43381289  1.048068198
0  -189  2.43580011  1.04806848
1  -189  2.43381289  1.048068258
2  -189  2.43381289  1.0480682
3  -189  2.43381289  1.048068078
4  -189  2.43381289  1.048068345
5  -189  2.43381289  1.048070097
6  -189  2.435345599  1.04806992
7  -189  2.436636399  1.048071634
8  -189  2.436174212  1.048068619
9  -189  2.435864759  1.048068093
10  -189  2.435563025  1.048068273
11  -189  2.433974776  1.048068372
12  -189  2.434810611  1.048068296
13  -189  2.433135389  1.048068181
14  -189  2.431194943  1.0480684
15  -189  2.435316792  1.048068487
16  -189  2.435088119  1.048070319
17  -189  2.435700585  1.048070224
18  -189  2.436000134  1.048068331
19  -189  2.435986995  1.048068293
20  -189  2.435938532  1.048069504
21  -189  2.436504208  1.048069241
22  -189  2.436394084  1.048068943
23  -189  2.43381289  1.048068759
24  -189  2.43381289  1.048070963
25  -189  2.43381289  1.048070643
26  -189  2.43381289  1.048070692
27  -189  2.43381289  1.048071145
28  -189  2.43381289  1.048071088
29  -189  2.43381289  1.04807076
30  -189  2.43381289  1.048070363
31  -189  2.43381289  1.048069594
32  -189  2.43381289  1.048068997
33  -189  2.43381289  1.048068368
34  -189  2.43381289  1.048068703
35  -189  2.43381289  1.048069013
36  -189  2.43381289  1.048066992
37  -189  2.43381289  1.048067368
38  -189  2.43381289  1.048067107
39  -189  2.43381289  1.048070397
40  -189  2.43381289  1.048071066
0  -188  2.435864103  1.048068476
1  -188  2.43381289  1.048068404
2  -188  2.43381289  1.048068264
3  -188  2.43381289  1.04806695
4  -188  2.43381289  1.048068175
5  -188  2.43381289  1.048065401
6  -188  2.436155468  1.048065672
7  -188  2.436784842  1.048068221
8  -188  2.436484678  1.048069897
9  -188  2.436207917  1.048067993
10  -188  2.435904404  1.048068186
11  -188  2.434361045  1.048068347
12  -188  2.434972771  1.048068281
13  -188  2.435127149  1.048068187
14  -188  2.435941799  1.048068024
15  -188  2.434799472  1.048069564
16  -188  2.435561787  1.048069929
17  -188  2.435946838  1.048069935
18  -188  2.435980111  1.048069771
19  -188  2.435978558  1.048069552
20  -188  2.436260942  1.048069317
21  -188  2.436205969  1.048069063
22  -188  2.43381289  1.048068806
23  -188  2.43381289  1.048068965
24  -188  2.43381289  1.048069966
25  -188  2.43381289  1.048069382
26  -188  2.43381289  1.048070493
27  -188  2.43381289  1.048070808
28  -188  2.43381289  1.048070682
29  -188  2.43381289  1.048070398
30  -188  2.43381289  1.048070088
31  -188  2.43381289  1.048069775
32  -188  2.43381289  1.048069447
33  -188  2.43381289  1.048069042
34  -188  2.43381289  1.048068859
35  -188  2.43381289  1.048068114
36  -188  2.43381289  1.048068085
37  -188  2.43381289  1.04806833
38  -188  2.43381289  1.048070223
39  -188  2.43381289  1.048071054
40  -188  2.43381289  1.048071347
0  -187  2.435985043  1.048068504
1  -187  2.43381289  1.048068467
2  -187  2.43381289  1.048068304
3  -187  2.43381289  1.048066818
4  -187  2.43381289  1.048068143
5  -187  2.43381289  1.048064651
6  -187  2.436340403  1.048067194
7  -187  2.435590682  1.048068298
8  -187  2.436765831  1.048068516
9  -187  2.43656267  1.048068914
10  -187  2.436279474  1.048068852
11  -187  2.434780597  1.04806879
12  -187  2.43478405  1.048068728
13  -187  2.435886178  1.048068666
14  -187  2.435895829  1.048068432
15  -187  2.435839226  1.048068561
16  -187  2.43601805  1.04806934
17  -187  2.436060953  1.048069515
18  -187  2.436379752  1.048069458
19  -187  2.436382414  1.048069289
20  -187  2.436941865  1.048069084
21  -187  2.436832953  1.048068857
22  -187  2.43381289  1.048068629
23  -187  2.43381289  1.048068523
24  -187  2.43381289  1.048070602
25  -187  2.43381289  1.048069236
26  -187  2.43381289  1.048070121
27  -187  2.43381289  1.048070377
28  -187  2.43381289  1.048070277
29  -187  2.43381289  1.048070049
30  -187  2.43381289  1.0480698
31  -187  2.43381289  1.048069547
32  -187  2.43381289  1.048069285
33  -187  2.43381289  1.048068975
34  -187  2.43381289  1.048068769
35  -187  2.43381289  1.048068116
36  -187  2.43381289  1.048067944
37  -187  2.43381289  1.048068294
38  -187  2.43381289  1.048070163
39  -187  2.43381289  1.048070906
40  -187  2.43381289  1.048070979
0  -186  2.43620833  1.048068091
1  -186  2.437045795  1.048068125
2  -186  2.43381289  1.048068089
3  -186  2.43381289  1.048067953
4  -186  2.43381289  1.048068105
5  -186  2.43381289  1.048067981
6  -186  2.43381289  1.048066675
7  -186  2.435847766  1.0480686
8  -186  2.436912003  1.048068673
9  -186  2.436864439  1.048068654
10  -186  2.436638219  1.048068622
11  -186  2.435571813  1.04806859
12  -186  2.43594787  1.048068558
13  -186  2.436525367  1.048068522
14  -186  2.436098153  1.048068451
15  -186  2.43612594  1.048068192
16  -186  2.4362237  1.048068297
17  -186  2.43381289  1.048068473
18  -186  2.43381289  1.048068665
19  -186  2.43381289  1.048068607
20  -186  2.43381289  1.048068505
21  -186  2.436923659  1.04806824
22  -186  2.43381289  1.048068039
23  -186  2.43381289  1.048068503
24  -186  2.43381289  1.048068662
25  -186  2.43381289  1.048069439
26  -186  2.43381289  1.048069646
27  -186  2.43381289  1.048070004
28  -186  2.43381289  1.048069994
29  -186  2.43381289  1.048069819
30  -186  2.43381289  1.048069595
31  -186  2.43381289  1.048069358
32  -186  2.43381289  1.048069106
33  -186  2.43381289  1.048068815
34  -186  2.43381289  1.048069004
35  -186  2.43381289  1.048067933
36  -186  2.43381289  1.048067561
37  -186  2.43381289  1.048068403
38  -186  2.43381289  1.04806985
39  -186  2.43381289  1.048070463
40  -186  2.43381289  1.048070503
0  -185  2.436558484  1.048067057
1  -185  2.437539379  1.048067284
2  -185  2.437182607  1.048067336
3  -185  2.43381289  1.048067125
4  -185  2.43381289  1.048067397
5  -185  2.43381289  1.048066987
6  -185  2.43381289  1.048067321
7  -185  2.43381289  1.048067046
8  -185  2.436764383  1.048067159
9  -185  2.436801218  1.048067239
10  -185  2.436856792  1.048067351
11  -185  2.436792377  1.048067467
12  -185  2.436843453  1.048067584
13  -185  2.436288142  1.048067698
14  -185  2.436287579  1.048067821
15  -185  2.436802182  1.048067876
16  -185  2.43381289  1.048066953
17  -185  2.43381289  1.048067133
18  -185  2.43381289  1.048067504
19  -185  2.43381289  1.048067417
20  -185  2.43381289  1.048067458
21  -185  2.43381289  1.048067524
22  -185  2.43381289  1.04806764
23  -185  2.43381289  1.048067752
24  -185  2.43381289  1.048067885
25  -185  2.43381289  1.048067867
26  -185  2.43381289  1.048068897
27  -185  2.43381289  1.04806946
28  -185  2.43381289  1.048069642
29  -185  2.43381289  1.048069572
30  -185  2.43381289  1.048069391
31  -185  2.43381289  1.048069174
32  -185  2.436985486  1.048068929
33  -185  2.43381289  1.048068646
34  -185  2.43381289  1.048069235
35  -185  2.43381289  1.048067433
36  -185  2.43381289  1.048067062
37  -185  2.43381289  1.048068413
38  -185  2.43381289  1.048069605
39  -185  2.43381289  1.04807008
40  -185  2.43381289  1.04807016
0  -184  2.437023445  1.048066116
1  -184  2.436652741  1.048066573
2  -184  2.437655524  1.048066557
3  -184  2.43381289  1.04806682
4  -184  2.43381289  1.048065939
5  -184  2.43381289  1.048067027
6  -184  2.43381289  1.048067847
7  -184  2.43381289  1.048065291
8  -184  2.43381289  1.048065379
9  -184  2.436237759  1.0480654
10  -184  2.436447474  1.048065661
11  -184  2.436285172  1.04806598
12  -184  2.436340994  1.048066307
13  -184  2.436284006  1.048066651
14  -184  2.436416317  1.048067028
